OBJECTID,NAME,Shape_Leng,Shape_Le_1,Shape_Length
1,Acela,741010.475197,741010.475197,977920.745422601
2,Adirondack,615675.378849,615675.378849,843749.69528787
3,Auto Train,1474023.67305,1474023.67305,1776111.65108083
4,Blue Water,511438.38759,511438.38759,693922.324205566
5,California Zephyr,4313889.47364,4313889.47364,5672841.5334649
6,Capitol Limited,1287416.36846,1287416.36846,1703069.52701656
7,Cardinal,1865049.47568,1865049.47568,2409211.14957961
8,Cascades,755629.352046,755629.352046,1105895.41280483
9,Chicago - St.Louis,454576.747035,454576.747035,595026.625168819
10,Coast Starlight,2273546.41101,2273546.41101,3003899.0317511
11,DC – Richmond,189211.595087,189211.595087,240227.759912652
12,DC - Lynchburg - Roanoke,360995.743944,360995.743944,459354.397617698
13,DC - Newport News,303014.509169,303014.509169,383766.10990891
14,Empire Builder,4221279.93946,4221279.93946,6168983.53915739
15,Empire Service,749608.342481,749608.342481,1019127.49079248
16,Ethan Allen Express,393001.526438,393001.526438,530351.168531943
17,Heartland Flyer,335103.967031,335103.967031,403808.684110171
18,Hiawathas,139300.027609,139300.027609,188127.227037662
19,Hoosier State,312487.350441,312487.350441,411597.235070309
20,Illini (Illinois_Service),498000.472368,498000.472368,645345.072028
21,Illinois Zephyr,414604.863113,414604.863113,551256.571552873
22,Keystone Service,316253.318123,316253.318123,415342.016554906
23,Lake Shore Limited,1867797.89614,1867797.89614,2525202.77390672
24,Maple Leaf,749608.342481,749608.342481,1019127.49079248
25,NEC,741010.475197,741010.475197,977920.745422601
26,New Haven - Springfield,100601.634459,100601.634459,134308.357345356
27,Pacific Surfliner,560437.291178,560437.291178,678147.832194998
28,Pennsylvanian,745134.875308,745134.875308,979749.583809091
29,Regional,1041187.38505,1041187.38505,1358051.94889421
30,San Joaquins,589348.360519,589348.360519,739947.736745948
31,Silver_Service/Palmetto,2984345.98509,2984345.98509,3598690.00615673
32,Southwest Chief,3707512.30074,3707512.30074,4664495.38375383
33,Sunset Limited,3251606.86353,3251606.86353,3809031.34970318
34,The Downeaster,233687.00211,233687.00211,320314.143967719
35,Brightline,106869.463486,106869.463486,120576.146325603
36,City of New Orleans,1513001.34987,1513001.34987,1869632.27341357
37,Crescent,2230997.9814,2230997.9814,2748107.74283086
38,DC - Norfolk,359806.954629,359806.954629,454166.751281007
39,Kansas City - St. Louis (Missouri River Runner),446399.60129,446399.60129,574665.238930701
40,Texas Eagle,4440861.63301,4440861.63301,5337586.35452769
41,Pere Marquette,283732.586062,283732.586062,382804.912499347
42,Wolverines (M-DOT),217899.189149,217899.189149,295550.956944571
43,Wolverines (Michigan_Services),264891.429655,264891.429655,356792.981659125
44,Capitol Corridor,274000.442673,274000.442673,348379.718489234
45,Vermonter,978619.546954,978619.546954,1310994.56365113
46,Carolinian,0,871554.626039,1109556.93315492
47,Piedmont,0,288265.146571,356479.387763421
